model,dataset,category,true_foil_text_mean,true_foil_text_std,active_passive_text_mean,active_passive_text_std,difference_text_mean,difference_text_std,true_foil_vl_mean,true_foil_vl_std,active_passive_vl_mean,active_passive_vl_std,difference_vl_mean,difference_vl_std
ALBEF,ARO,,0.9996158,0.00022199657,0.9990441,0.00033437033,0.00057160086,0.00025543835,0.96778,0.012088098,0.94152695,0.012326467,0.026253035,0.013098125
ALBEF,ARO,body_action,0.99980444,0.0,0.9992703,1.1920929e-07,0.00053423643,0.0,0.9775782,1.1920929e-07,0.9413852,1.7881393e-07,0.03619331,0.0
ALBEF,ARO,contact,0.9998044,5.9604645e-08,0.9992703,1.1920929e-07,0.00053423643,0.0,0.97757816,1.7881393e-07,0.94138515,1.1920929e-07,0.03619331,0.0
ALBEF,ARO,perception,0.9998042,2.3841858e-07,0.99926996,2.3841858e-07,0.00053423643,0.0,0.9775785,1.7881393e-07,0.9413851,5.9604645e-08,0.03619331,0.0
ALBEF,ARO,communication,0.9998044,5.9604645e-08,0.99927026,5.9604645e-08,0.00053423643,0.0,0.97757834,0.0,0.9413851,5.9604645e-08,0.03619331,0.0
ALBEF,ARO,motion_direction,0.99980426,1.7881393e-07,0.99927,1.7881393e-07,0.00053423643,0.0,0.97757846,1.1920929e-07,0.9413851,5.9604645e-08,0.03619331,0.0
ALBEF,ARO,motion_manner,0.99980444,0.0,0.9992703,1.1920929e-07,0.00053423643,0.0,0.9775783,5.9604645e-08,0.9413851,5.9604645e-08,0.03619331,0.0
ALBEF,ARO,change_state,0.9998045,5.9604645e-08,0.9992703,1.1920929e-07,0.00053423643,0.0,0.9775783,5.9604645e-08,0.94138503,0.0,0.036193315,3.7252903e-09
ALBEF,ARO,social,0.99980444,0.0,0.9992702,0.0,0.00053423643,0.0,0.97757834,0.0,0.94138503,0.0,0.03619331,0.0
ALBEF,ARO,change_location,0.9998042,2.3841858e-07,0.99926996,2.3841858e-07,0.00053423643,0.0,0.9775785,1.7881393e-07,0.9413851,5.9604645e-08,0.03619331,0.0
ALBEF,ARO,state_of_being,0.99980444,0.0,0.9992703,1.1920929e-07,0.00053423643,0.0,0.9775783,5.9604645e-08,0.94138515,1.1920929e-07,0.03619331,0.0
ALBEF,VALSE,,0.9992833733558656,0.0005997348343953,0.9982718825340272,0.0007558415527455,0.0010115690529346,0.0006952360854484,0.95429927110672,0.0346863567829132,0.939561367034912,0.0338255539536476,0.0147378910332918,0.0254752449691295
ALBEF,VALSE,body_action,0.9996274709701538,5.960464477539065e-08,0.9979113340377808,0.0,0.0017161965370178,0.0,0.93520849943161,5.960464477539065e-08,0.9027379751205444,5.960464477539065e-08,0.0324705243110656,0.0
ALBEF,VALSE,communication,0.9996274709701538,5.960464477539065e-08,0.997911274433136,5.960464477539065e-08,0.0017161965370178,0.0,0.9352084398269652,1.1920928955078125e-07,0.9027379155158995,1.1920928955078125e-07,0.0324705205857753,3.725290298461914e-09
ALBEF,VALSE,change_state,0.9996274709701538,5.960464477539065e-08,0.9979113340377808,0.0,0.0017161965370178,0.0,0.9352084398269652,1.1920928955078125e-07,0.9027379751205444,5.960464477539065e-08,0.0324705243110656,0.0
ALBEF,VALSE,social,0.9996274709701538,5.960464477539065e-08,0.997911274433136,5.960464477539065e-08,0.0017161965370178,0.0,0.9352085590362548,0.0,0.9027381539344788,1.1920928955078125e-07,0.0324705205857753,3.725290298461914e-09
ALBEF,VALSE,mental_cognition,0.9996275305747986,0.0,0.9979113340377808,0.0,0.0017161965370178,0.0,0.9352085590362548,0.0,0.9027380347251892,0.0,0.0324705243110656,0.0
ALBEF,VALSE,contact,0.9996275305747986,0.0,0.9979113936424256,5.960464477539065e-08,0.0017161965370178,0.0,0.9352084398269652,1.1920928955078125e-07,0.9027380347251892,0.0,0.0324705243110656,0.0
ALBEF,VALSE,contrast,0.999627411365509,1.1920928955078125e-07,0.9979113340377808,0.0,0.0017161965370178,0.0,0.9352084398269652,1.1920928955078125e-07,0.9027379751205444,5.960464477539065e-08,0.0324705243110656,0.0
ALBEF,VALSE,change_location,0.9996275901794434,5.960464477539065e-08,0.9979113340377808,0.0,0.0017161965370178,0.0,0.9352086782455444,1.1920928955078125e-07,0.902738094329834,5.960464477539065e-08,0.0324705243110656,0.0
ALBEF,VALSE,motion_direction,0.999627649784088,1.1920928955078125e-07,0.9979113936424256,5.960464477539065e-08,0.0017161965370178,0.0,0.9352086782455444,1.1920928955078125e-07,0.9027381539344788,1.1920928955078125e-07,0.0324705243110656,0.0
ALBEF,VALSE,perception,0.999627411365509,1.1920928955078125e-07,0.9979113936424256,5.960464477539065e-08,0.0017161965370178,0.0,0.9352084398269652,1.1920928955078125e-07,0.9027379155158995,1.1920928955078125e-07,0.0324705243110656,0.0
ALBEF,VALSE,exchange,0.9996275305747986,0.0,0.9979113340377808,0.0,0.0017161965370178,0.0,0.9352085590362548,0.0,0.9027380347251892,0.0,0.0324705243110656,0.0
ALBEF,VALSE,motion_manner,0.9996275901794434,5.960464477539065e-08,0.9979113340377808,0.0,0.0017161965370178,0.0,0.9352086186408995,5.960464477539065e-08,0.902738094329834,5.960464477539065e-08,0.0324705243110656,0.0
ALBEF,VALSE,contrast ,0.9996275305747986,0.0,0.9979113340377808,0.0,0.0017161965370178,0.0,0.9352085590362548,0.0,0.9027380347251892,0.0,0.0324705243110656,0.0
XVLM,ARO,,0.99968820810318,0.0001177658486994,0.999247670173645,0.0001991395110962,0.0004405156651046,0.0001392456761095,0.9232428669929504,0.0381123907864093,0.9243344664573668,0.030046984553337,-0.0010915474267676,0.02667848020792
XVLM,ARO,body_action,0.9998158812522888,5.960464477539065e-08,0.9994475245475768,5.960464477539065e-08,0.0003683567047119,0.0,0.9587879776954652,1.1920928955078125e-07,0.959042489528656,1.788139343261719e-07,-0.000254213809967,0.0
XVLM,ARO,contact,0.9998159408569336,1.1920928955078125e-07,0.9994475245475768,5.960464477539065e-08,0.0003683567047119,0.0,0.9587879776954652,1.1920928955078125e-07,0.959042489528656,1.788139343261719e-07,-0.000254213809967,0.0
XVLM,ARO,perception,0.9998155832290648,2.384185791015625e-07,0.9994472861289978,1.788139343261719e-07,0.0003683567047119,0.0,0.9587880969047546,0.0,0.9590420722961426,2.384185791015625e-07,-0.000254213809967,0.0
XVLM,ARO,communication,0.999815821647644,0.0,0.999447464942932,0.0,0.0003683567047119,0.0,0.9587880969047546,0.0,0.9590423703193665,5.960464477539065e-08,-0.000254213809967,0.0
XVLM,ARO,motion_direction,0.9998156428337096,1.788139343261719e-07,0.9994473457336426,1.1920928955078125e-07,0.0003683567047119,0.0,0.9587880969047546,0.0,0.9590421319007874,1.788139343261719e-07,-0.000254213809967,0.0
XVLM,ARO,motion_manner,0.9998158812522888,5.960464477539065e-08,0.9994474053382874,5.960464477539065e-08,0.0003683567047119,0.0,0.9587880969047546,0.0,0.9590423703193665,5.960464477539065e-08,-0.000254213809967,0.0
XVLM,ARO,change_state,0.9998159408569336,1.1920928955078125e-07,0.9994474053382874,5.960464477539065e-08,0.0003683567047119,0.0,0.9587881565093994,5.960464477539065e-08,0.9590423703193665,5.960464477539065e-08,-0.000254213809967,0.0
XVLM,ARO,social,0.999815821647644,0.0,0.999447464942932,0.0,0.0003683567047119,0.0,0.9587880969047546,0.0,0.9590423107147216,0.0,-0.000254213809967,0.0
XVLM,ARO,change_location,0.9998155832290648,2.384185791015625e-07,0.9994472861289978,1.788139343261719e-07,0.0003683567047119,0.0,0.9587880969047546,0.0,0.9590420722961426,2.384185791015625e-07,-0.000254213809967,0.0
XVLM,ARO,state_of_being,0.9998158812522888,5.960464477539065e-08,0.9994475841522216,1.1920928955078125e-07,0.0003683567047119,0.0,0.95878803730011,5.960464477539065e-08,0.9590424299240112,1.1920928955078125e-07,-0.000254213809967,0.0
XVLM,VALSE,,0.9994989037513732,0.000324214430293,0.9988964796066284,0.0004567607829812,0.0006025199545547,0.0004310754011385,0.9388555884361268,0.0414419807493686,0.9182208180427552,0.0440514534711837,0.0206347350031137,0.0370895117521286
XVLM,VALSE,body_action,0.9995191693305968,0.0,0.9989600777626038,5.960464477539065e-08,0.0005590319633483,0.0,0.9059375524520874,0.0,0.8956940770149231,0.0,0.0102434754371643,0.0
XVLM,VALSE,communication,0.9995192289352416,5.960464477539065e-08,0.9989601969718932,5.960464477539065e-08,0.0005590319633483,0.0,0.9059375524520874,0.0,0.8956941962242126,1.1920928955078125e-07,0.0102434754371643,0.0
XVLM,VALSE,change_state,0.9995192885398864,1.1920928955078125e-07,0.9989601969718932,5.960464477539065e-08,0.0005590319633483,0.0,0.9059375524520874,0.0,0.8956940174102783,5.960464477539065e-08,0.0102434754371643,0.0
XVLM,VALSE,social,0.9995192289352416,5.960464477539065e-08,0.9989601969718932,5.960464477539065e-08,0.0005590319633483,0.0,0.9059376120567322,5.960464477539065e-08,0.8956939578056335,1.1920928955078125e-07,0.0102434754371643,0.0
XVLM,VALSE,mental_cognition,0.999519109725952,5.960464477539065e-08,0.9989601373672484,0.0,0.0005590319633483,0.0,0.9059375524520874,0.0,0.8956940770149231,0.0,0.0102434754371643,0.0
XVLM,VALSE,contact,0.9995192289352416,5.960464477539065e-08,0.9989600777626038,5.960464477539065e-08,0.0005590319633483,0.0,0.9059376120567322,5.960464477539065e-08,0.8956941366195679,5.960464477539065e-08,0.0102434754371643,0.0
XVLM,VALSE,contrast,0.9995192885398864,1.1920928955078125e-07,0.9989601969718932,5.960464477539065e-08,0.0005590319633483,0.0,0.9059374928474426,5.960464477539065e-08,0.8956939578056335,1.1920928955078125e-07,0.0102434754371643,0.0
XVLM,VALSE,change_location,0.9995192289352416,5.960464477539065e-08,0.998960256576538,1.1920928955078125e-07,0.0005590319633483,0.0,0.905937433242798,1.1920928955078125e-07,0.8956941962242126,1.1920928955078125e-07,0.0102434754371643,0.0
XVLM,VALSE,motion_direction,0.9995191693305968,0.0,0.998960256576538,1.1920928955078125e-07,0.0005590319633483,0.0,0.905937433242798,1.1920928955078125e-07,0.8956941962242126,1.1920928955078125e-07,0.0102434754371643,0.0
XVLM,VALSE,perception,0.9995192289352416,5.960464477539065e-08,0.9989603161811828,1.788139343261719e-07,0.0005590319633483,0.0,0.9059373736381532,1.788139343261719e-07,0.8956939578056335,1.1920928955078125e-07,0.0102434754371643,0.0
XVLM,VALSE,exchange,0.9995191693305968,0.0,0.9989601373672484,0.0,0.0005590319633483,0.0,0.9059375524520874,0.0,0.8956940770149231,0.0,0.0102434754371643,0.0
XVLM,VALSE,motion_manner,0.9995191693305968,0.0,0.9989601969718932,5.960464477539065e-08,0.0005590319633483,0.0,0.9059374928474426,5.960464477539065e-08,0.8956941366195679,5.960464477539065e-08,0.0102434754371643,0.0
XVLM,VALSE,contrast ,0.9995191693305968,0.0,0.9989601373672484,0.0,0.0005590319633483,0.0,0.9059375524520874,0.0,0.8956940770149231,0.0,0.0102434754371643,0.0
BLIP,ARO,,,,,,,,0.9796255826950072,0.0124168703332543,0.9406170845031738,0.0284531377255916,0.0390085689723491,0.0274530779570341
BLIP,ARO,body_action,,,,,,,,5.960464477539065e-08,0.9245940446853638,1.1920928955078125e-07,0.050872266292572,0.0
BLIP,ARO,contact,,,,,,,,0.0,0.924593985080719,1.788139343261719e-07,0.050872266292572,0.0
BLIP,ARO,perception,,,,,,,,1.788139343261719e-07,0.9245942831039428,1.1920928955078125e-07,0.0508722737431526,7.450580596923828e-09
BLIP,ARO,communication,,,,,,,,0.0,0.9245941042900084,5.960464477539065e-08,0.050872266292572,0.0
BLIP,ARO,motion_direction,,,,,,,,1.1920928955078125e-07,0.924594223499298,5.960464477539065e-08,0.0508722700178623,3.725290298461914e-09
BLIP,ARO,motion_manner,,,,,,,,0.0,0.9245941042900084,5.960464477539065e-08,0.050872266292572,0.0
BLIP,ARO,change_state,,,,,,,,5.960464477539065e-08,0.9245941042900084,5.960464477539065e-08,0.0508722700178623,3.725290298461914e-09
BLIP,ARO,social,,,,,,,,0.0,0.9245941638946532,0.0,0.050872266292572,0.0
BLIP,ARO,change_location,,,,,,,,1.788139343261719e-07,0.9245942831039428,1.1920928955078125e-07,0.0508722737431526,7.450580596923828e-09
BLIP,ARO,state_of_being,,,,,,,,5.960464477539065e-08,0.9245940446853638,1.1920928955078125e-07,0.050872266292572,0.0
BLIP,VALSE,,,,,,,,0.9591650366783142,0.0411274284124374,0.9101228713989258,0.0923006907105445,0.0490421466529369,0.0766391977667808
BLIP,VALSE,body_action,,,,,,,,0.0,0.8776727914810181,0.0,0.0704272985458374,0.0
BLIP,VALSE,communication,,,,,,,,0.0,0.8776728510856628,5.960464477539065e-08,0.070427305996418,7.450580596923828e-09
BLIP,VALSE,change_state,,,,,,,,5.960464477539065e-08,0.8776727914810181,0.0,0.0704272985458374,0.0
BLIP,VALSE,social,,,,,,,,1.788139343261719e-07,0.8776726126670837,1.788139343261719e-07,0.070427305996418,7.450580596923828e-09
BLIP,VALSE,mental_cognition,,,,,,,,5.960464477539065e-08,0.8776727914810181,0.0,0.0704272985458374,0.0
BLIP,VALSE,contact,,,,,,,,0.0,0.8776727318763733,5.960464477539065e-08,0.0704272985458374,0.0
BLIP,VALSE,contrast,,,,,,,,0.0,0.8776727914810181,0.0,0.0704272985458374,0.0
BLIP,VALSE,change_location,,,,,,,,1.788139343261719e-07,0.8776727318763733,5.960464477539065e-08,0.070427305996418,7.450580596923828e-09
BLIP,VALSE,motion_direction,,,,,,,,2.384185791015625e-07,0.8776727318763733,5.960464477539065e-08,0.0704272985458374,0.0
BLIP,VALSE,perception,,,,,,,,0.0,0.8776728510856628,5.960464477539065e-08,0.0704272985458374,0.0
BLIP,VALSE,exchange,,,,,,,,0.0,0.8776727914810181,0.0,0.0704272985458374,0.0
BLIP,VALSE,motion_manner,,,,,,,,1.788139343261719e-07,0.8776727914810181,0.0,0.0704272985458374,0.0
BLIP,VALSE,contrast ,,,,,,,,0.0,0.8776727914810181,0.0,0.0704272985458374,0.0
X2VLM,ARO,,0.9458179473876952,0.0223437659442424,0.9457386136054992,0.0265688449144363,7.942748925415799e-05,0.0186088681221008,0.8756310939788818,0.1609812676906585,0.8665946125984192,0.1662930697202682,0.0090364683419466,0.0571346879005432
